,Resume
51,"['C++', 'Communication', 'Ms excel', 'Design', 'Modeling', 'Matlab', 'Programming', 'Excel', 'C', 'Research', 'System', 'Marketing', 'Oracle', 'Circuits', 'Economics', 'Matrix', 'Mobile', 'Email']['\uf0b7', 'Interned at USC, LA as a research student in the field of carbon nanotubes research.', '\uf0b7  Performed the modeling of Nanotube based transistor circuits for radio applications.', '\uf0b7  Worked with Intinno technologies.', '(May – July 2010)', '(July 2009 - May 2010)', '\uf0b7  Design of web pages for the Intinno help site.', '\uf0b7  The further tasks were to market the product Intinno to teachers inside IITKGP.', 'POSITIONS OF RESPONSIBILITY', '\uf0b7  Served as Marketing Ambassador inside IIT for Intinno technologies.', '\uf0b7  Group leader communication team STUSAT-1 (IIT KGP student satellite).', '(July 2009- May 2010)', '(August 2010 – present)', '\uf0b7', 'I supervise the communication system design, and the products to be used for the deployment.', 'EXTRA-CURRICULAR/CO-CURRICULAR ACTIVITIES', '\uf0b7  Squad member of the inter hall football team for sessions 2008-2009, 2009-2010.', '\uf0b7  Worked as second goalkeeper for the team (2009-2010), and a centre back (2008 – 2009).', '\uf0b7  The team won gold on both occasions.', '\uf0b7  Squad member of the inter hall cricket team for session 2008-2009.', '\uf0b7  Served as NCC Cadet in Air Force Wing, session 2007-2008, and successfully attended winter camp.', '\uf0b7  Participation in various quiz events of Kshitij and SF.']"
52,"['Electronics', 'Visual', 'Hardware', 'Modeling', 'Supervisor', 'Programming', 'C', 'System', 'Algorithms', 'Matlab']"
53,"['Electronics', 'Communication', 'Design', 'Hardware', 'Automation', 'Engineering', 'Routing', 'System', 'Training', 'Algorithms', 'Research', 'Circuits', 'Audit', 'Sports', 'Email', 'Cad', 'Electrical', 'Presentation']"
54,"['Communication', 'Linux', 'C', 'Engineering', 'Research', 'Photoshop', 'Editing', 'Video', 'Design', 'Windows', 'English', 'System', 'Oracle', 'Circuits', 'Matrix', 'Experimental', 'Electrical', 'Electronics', 'Programming', 'Adobe', 'Sports', 'Matlab', 'Mis', 'Email', 'Gis', 'Photography', 'Automation', 'Physics', 'Statistics']"
55,"['Communication', 'Operating systems', 'Autocad', 'Analysis', 'Linux', 'C', 'Engineering', 'Technical', 'Surprise', 'Positioning', 'Design', 'Windows', 'Visual', 'Pattern', 'System', 'Electrical', 'Coding', 'Electronics', 'C++', 'Programming', 'Sports', 'Java', 'Matlab']['MITACS Globalink,', 'Q1 Labs / University', 'of New Brunswick,', 'Canada', '(May 10-July 10)', 'University of', 'Applied Sciences', 'Giessen-Friedberg,', 'Germany', '(May 09-July 09)', '\uf0b7  Problem:  Development  of  a  Log  Management  tool,  which  focuses  on  processing  various  formats  of  logs', 'generated from different sources through a single code, which is able to parse the ever varying “ad-hoc” data.', '\uf0b7  Job  profile:  This  project  was  supervised  by  Dr.  Ali  Ghorbani  in  close  collaboration  with  Q1  Labs', '(http://q1labs.com/Solutions/Log-Management.aspx).', '\uf0b7  Achievements: This software handles “all” kinds of logs, generating “schema”  used for various user-defined', 'functions. Q1 labs will be applying for a patent and is going to launch the product in summer next year.', '\uf0b7  Problem: Developing an absolute encoder which provides a contactless method for displacement measurement.', '\uf0b7  Job  profile:  Worked  under  the  supervision  of  Dr.  Ubbo  Ricklefs.  Responsibilities  include  conducting  an', 'extensive analysis on the behavior of Optical sensors when used on moving corned surfaces.', '\uf0b7  Achievements: Achieved 98% efficiency in measurement of movement with accuracy reaching smaller than 1', 'micron  depending  on  the  size  of  algorithm  and  magnification.  Industrial  applications  include  displacement', 'Measurement, Positioning and Sensors for autonomous robots.', 'Extra Curricular Activities', 'POSITIONS OF', 'RESPONSIBILITY', 'Kharagpur.', '\uf0b7  Representative head of Mitacs New Brunswick, responsibilities included welfare of other interns and media face.', '\uf0b7  Chairing member of Kharagpur Cyber Championship, an annual inter college competition organized by IIT', 'TECHNICAL &', 'SPORTS', '\uf0b7  Member of the Gold winning Product Design team of    R.K.Hall of residence.', '\uf0b7  Member of the Silver winning Bengali Dramatics team of    R.K.Hall of residence.', '\uf0b7', '\uf0b7  Member of FOOTBALL team of R.K.Hall of Residence.', 'Participated in many robotics and coding events in Kshitij 2008 and Kshitij 2009.', 'SOCIAL &', 'ENVIRONMENTAL', 'WORK', '\uf0b7  Active member of the Gopali Youth Welfare Society (GYWS) aimed at ensuring socio-economic welfare for', 'underprivileged and weaker sections of the society at Gopali village 5 km from IIT Kharagpur. Its main motto', 'is ""not to make the children literate, but to make them educated"".', '\uf0b7  Volunteer of the Environmental awareness program under National Service Scheme.', '\uf0b7  We also developed a low-cost system (named it “CRYOCOOLING”) to preserve vegetables in hot, humid', 'climate for longer time.']"
56,"['C', 'Html', 'Engineering', 'Research', 'Migration', 'Technical', 'Scripting', 'Cad', 'Scheduling', 'Design', 'English', 'System', 'Perl', 'International', 'Word', 'C++', 'Python', 'Servers', 'Programming', 'Cloud', 'Ibm', 'Java', 'Email', 'Matlab', 'Php', 'Shell', 'Computer science', 'Wheel', 'Mobile', 'Mysql', 'Presentation', 'Orator']['• École Polytechnique Fédérale de Lausanne (EPFL), Switzerland                                                                               (May 2010 - July 2010)', '\uf0a7  Title: Predicting Policy Changes that can inflict divergence in Border Gateway Protocol                     Guide: Prof. Dejan Kostić, Networked System Lab', '\uf0a7  Received Inventorship in the Patent being filed “Predicting faults in large scale systems”, Paper presently in preparation', '• IBM India Research Lab                                                                                                                                        (June - November 2009)', 'POSITIONS OF RESPONSIBILITY', 'DEPARTMENT', 'REPRESENTATIVE', '• Undergraduate Academic Advisory Committee, 2009 – 2011', '\uf0a7  Nominated by Head of the Department to be a part of the 4 member committee', '\uf0a7  Student Representative for feedback regarding courses and suggesting changes in curriculum', '•  Nominated to lead the Hall Team in the following events in Gymkhana General Championships, 2010 – 2011', '\uf0a7 Steered the Hall Team to 1st Prize in 2009 – 2010 as the Coordinator', '\uf0a7 Conducted Java Workshop for the Freshmen Batch', 'Opensoft', 'CAPTAIN', 'Debate', '\uf0a7 Mentored the Freshmen Debate team that bagged  all  3  positions  in  Foundation  Day', 'English Elocution', 'Debate, 2010', 'Dumb - Charades', 'Events', 'What’s the Good Word', '\uf0a7 Organizing weekly practice sessions to ensure competent participation in the Inter – Hall', 'EXTRA – CURRICULAR ACHIEVEMENTS', 'LITERARY', 'AND', 'DRAMATICS', 'TECHNICAL', '• Won Gold Medal, Inter - Hall English Dramatics, 2009 - 2010', '• Won 2nd Prize, Dumb - Charades Competition in National Level Cultural Fest, Spring Fest, 2010', '• Led the Presentation Team of Lala Lajpat Rai Hall to Silver Medal in Inter - Hall Illumination, 2009 & 2010', '• Awarded “Orator Par Excellence” of the School, 2005', '• Awarded Best Hindi Speaker and Debater of the School, 2003', '• Won Gold Medal, Inter - Hall Software Design Competition (Opensoft), 2009 - 2010', '• Won 3rd Prize, Circuit Design Competition (Anadigix) in National Level Technical Fest, Kshitij, 2010', '• Stood 5th, Overnite ACM - ICPC Multi Provincial Programming Competition, 2010']"
57,"['Electronics', 'Communication', 'Design', 'Hardware', 'Mathematics', 'Database', 'Engineering', 'Research', 'Physics', 'Training', 'System', 'International', 'Electrical']"
58,"['Testing', 'Design', 'Prototype', 'Benchmark', 'Mathematics', 'Matlab', 'System', 'Health', 'Debugging', 'Fabrication', 'Mobile', 'Email', 'Protocols']['May’10 – July’10']"
59,"['Communication', 'Robot', 'Engineering', 'Research', 'Algorithms', 'Scripting', 'Technical', 'Api', 'Db2', 'Installation', 'Design', 'Marketing', 'Access', 'Electrical', 'Electronics', 'Website', 'Plan', 'Sports', 'Ibm', 'Java', 'Matlab', 'Shell', 'Hardware', 'Product design']"
60,"['Electronics', 'Communication', 'Design', 'Hardware', 'Modeling', 'C', 'Sports', 'Research', 'System', 'Health', 'Algorithms', 'Training', 'Healthcare', 'Technical', 'Email', 'Electrical']['singhharkanwal@gmail.com']"
61,"['Benchmark', 'Analysis', 'C', 'Research', 'Algorithms', 'Technical', 'Architecture', 'Machine learning', 'Design', 'Analytical', 'Acquisition', 'Conversion', 'System', 'Matrix', 'International', 'Improvement', 'Word', 'C++', 'Electronics', 'Programming', 'Java', 'Economics', 'Matlab', 'Email', 'Hardware', 'Parser', 'Analytical skills', 'Presentation', 'Sdlc']['Siemens\xa0Information\xa0System\xa0Ltd.\xa0(Div.:\xa0Corporate\xa0Technology),\xa0Bengaluru,\xa0India\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0may\xa0’10\xa0–\xa0july\xa0‘10', 'Title:\xa0Hardware\xa0for\xa0“Single\xa0Pixel\xa0Camera”\xa0‐\xa0Compressive\xa0Sensing.\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0under\xa0Varun\xa0AV', '•  Programmed\xa0a\xa0Virtex‐5\xa0FPGA\xa0for\xa0controlling\xa0a\xa0digital\xa0micro‐mirror\xa0device,\xa0data\xa0acquisition\xa0and\xa0IO\xa0interface\xa0via\xa0USB', '•  Proposed\xa0using\xa0the\xa0same\xa0setup\xa0for\xa0infrared\xa0imaging\xa0and\xa0spectrum\xa0analysis,\xa0which\xa0was\xa0well\xa0appreciated\xa0and\xa0was\xa0offered\xa0PPI', 'Microsoft\xa0Research\xa0Labs\xa0India\xa0Pvt.\xa0Ltd.\xa0(Multilingual\xa0Systems\xa0Group),\xa0Bengaluru,\xa0India\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0may\xa0’09\xa0–\xa0july\xa0‘09', 'Title:\xa0Prosody\xa0based\xa0classification\xa0of\xa0utterances\xa0of\xa0the\xa0Hindi\xa0word\xa0“haaN”.\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0under\xa0Dr.\xa0Kalika\xa0Bali', '•  Identified\xa0the\xa0distinct\xa0prosodic\xa0cues\xa0associated\xa0with\xa0various\xa0types\xa0of\xa0utterances\xa0and\xa0used\xa0it\xa0for\xa0k‐means\xa0clustering', '•  Achieved\xa0a\xa060%\xa0efficiency\xa0in\xa0a\xa0three\xa0way\xa0classification,\xa0which\xa0was\xa0a\xa0big\xa0improvement\xa0than\xa0at\xa0random\xa0classification', 'Dept.\xa0of\xa0ECE,\xa0University\xa0of\xa0Colorado,\xa0Boulder,\xa0USA\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0under\xa0Dr.\xa0Frank\xa0Barnes\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0may\xa0’08\xa0–\xa0july\xa0‘08', '•  Prepared\xa0BaTiO3\xa0pellets\xa0for\xa0usage\xa0as\xa0super‐capacitor\xa0(ε\xa0>\xa06000\xa0&\xa0breakdown\xa0voltage\xa0strength\xa0>\xa0100,000\xa0V/cm)', '•  Designed\xa0high\xa0torque,\xa0high\xa0efficiency\xa0motor\xa0for\xa0International\xa0Future\xa0Energy\xa0Challenge,\xa02009,\xa0which\xa0won\xa02\xa0of\xa0the\xa06\xa0awards', 'POSITIONS\xa0OF\xa0RESPONSIBILITY', 'Student\xa0Advisor\xa0of\xa0Entrepreneurship\xa0Cell,\xa0IIT\xa0Kharagpur\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0september\xa0’06\xa0‐\xa0present', '• \xa0\xa0Organizing\xa0team\xa0member\xa0of\xa0E‐Summit\xa02006,\xa0‘07,\xa0‘09(as\xa0Student\xa0Manager)\xa0&\xa0‘10(as\xa0Coordinator).', '• \xa0\xa0Sponsorship\xa0team\xa0head\xa0for\xa0E‐Summit\xa0‘09\xa0and\xa0brought\xa0a\xa0sponsorship\xa0amount\xa0of\xa04\xa0lakhs.', '•  Initiated\xa0and\xa0promoted\xa0Fund‐A‐KGPian,\xa0Entrepreneurship\xa0Awareness\xa0Drive\xa0and\xa0setting\xa0up\xa0of\xa0a\xa0VC\xa0panel\xa0for\xa0mentorship.', 'EXTRA‐CURRICULAR/CO‐CURRICULAR\xa0ACTIVITIES', '•', 'Finalists\xa0at\xa0GE\xa0Edison\xa0Challenge,\xa02009\xa0at\xa0John\xa0F\xa0Welch\xa0Technology\xa0Centre\xa0(one\xa0of\xa018\xa0teams\xa0from\xa0all\xa0over\xa0India)', '•  Had\xa0to\xa0visit\xa0a\xa0nearby\xa0village\xa0to\xa0interact\xa0with\xa0the\xa0villagers,\xa0assess\xa0their\xa0power\xa0situation\xa0and\xa0propose\xa0a\xa0solution.', '•  Designed\xa0an\xa0AC‐Coupled\xa0Microgrid\xa0using\xa0renewable\xa0energy\xa0and\xa0laid\xa0down\xa0the\xa0power\xa0electronics\xa0for\xa0the\xa0interface.', 'Part\xa0of\xa0Guest\xa0Reception\xa0team\xa0of\xa0Illumination\xa0‘10\xa0of\xa0Rajendra\xa0Prasad\xa0Hall\xa0of\xa0IIT\xa0Kharagpur,\xa0which\xa0went\xa0on\xa0to\xa0win\xa0gold.', 'Finalist\xa0at\xa0Anadigix(the\xa0circuit\xa0design\xa0contest)\xa0and\xa0Overnite\xa0(the\xa0programming\xa0contest)\xa0at\xa0Kshitij‐2009.', '•', '•', '•  Completed\xa0Senior\xa0Diploma\xa0in\xa0painting\xa0from\xa0Ankan\xa0Kala\xa0Bibhag,\xa0Bangiya\xa0Sangeet\xa0Parishad', '•', 'Participated\xa0in\xa0West\xa0Bengal\xa0State\xa0Taekwondo\xa0Championship\xa0in\xa01995\xa0and\xa0Delhi\xa0State\xa0Table\xa0Tennis\xa0Championship\xa0in\xa02001.']"
62,"['Electronics', 'Communication', 'Calculus', 'C++', 'Windows', 'Autocad', 'Matlab', 'Linux', 'Programming', 'C', 'Engineering', 'Physics', 'Algorithms', 'Radar', 'Email', 'Electrical', 'Statistics']['7.75', 'B Tech in Electronics']"
63,"['Advertising', 'Benchmark', 'Mathematics', 'Pr', 'Analysis', 'Mining', 'Analytics', 'Process', 'Programming', 'Robot', 'Research', 'Algorithms', 'P', 'Logistics', 'Perl', 'International', 'Technical', 'Statistics', '.net', 'Word']['Development  team, Yahoo!  Software Development Pvt. Limited                                             (May  – Jul 10)', 'o  Developed  a  perl  package  to find  pool  of  words  related  to a given  word  helping  advertisers  to target  621', 'million  users who  use Yahoo!  search  engine', 'o  Explored  several  non-orthodox  topics like using social profile,  communities of  interest, recommendation', 'systems and  clustering algorithms  to improve  targeted  online  advertising', 'Research  team, University  of Gottingen,  Germany                                                                  (May  – Jul 09)', 'Improved  current  version  of  Dailign  program  for  sequence  alignment  by incorporating  protein  secondary', 'structure  information  by an  average  of 2-3%  on  benchmark  cases', 'o', 'o  Offered  a research  scholar  position in department  of bioinformatics,  University  of  Gottingen', 'Analytics team, Genpact                                                                                                              (May  –  Jun  08)', 'o  Automated  credit  risk calculation  using VBA which  saved  70% of  total time required  for  the process', 'o  Calculations  done  on quarterly  basis are  now  done  every  10 days giving  update  information  to clients', 'Positions of  responsibility', 'Microsoft  Student Partner, Microsoft  ambassador  to IIT  Kharagpur                                         (Oct 08 – present)', 'o  Conducted  4 technical  sessions to improve  awareness  of Microsoft  product  with  average  of  70 students', 'o  Organized  conference  for  academic  collaboration  of  law  school, IIT  Kharagpur  with  Microsoft', 'o  Working  as collaborator  in IEEE TechSym  2010  and  Aarambh,  an NGO,  working  for  digital  literacy', 'Captain  of  Inter-h all  Open so ft  (pro g ram m in g )  team,                                                                   (Jul  08  - 10)', 'o  Guided  a  team  of  20-25  students', 'o  Devel oped  a  novel  digital  water marki n g  techni que  which  won  2nd  prize  in inter-hall  competiti o n', 'o  Among  top 30  teams of  700  in ACM/ICPC  Multi-Provincial  Programming  contest in 2009  and  2010', 'in  various  progr am mi ng  competiti ons', 'in  and  outside  the  campus', 'Coor di nator ,  Kshitij                                                                                                                            (Jan  09)', 'o  Managed  logistics  of  a  live  concer t  of  2000  strength  audienc e  at  asia’s  larges t  techno- m anag em ent  fest', 'Extra-curricular  Activities', 'Table  tennis', 'o  Represented  Durg  zone at state level  table  tennis tournament  in sub-juniors  category  in 2002', 'o  Represented  DPS Bhilai  thrice at CBSE cluster level  tournament   in 2002,  2003  and  2004', 'o  Captain  of  my hostel table  tennis team  for  academic  session 2009-2010', 'o  Won one  silver  and  two bronze  in inter-hall  tournament  in 2010,  2009,  2007  respectively', 'Member  of bronze  winning  hostel football  team, 2009.  Member  of  athletics and  chess team']"
64,"['Communication', 'Mock', 'Pharmaceutical', 'Policies', 'Mathematics', 'Analysis', 'Modeling', 'Engineering', 'Research', 'Audit', 'Partnerships', 'P', 'Partnership', 'International', 'Mobile', 'Email', 'Statistics']"
65,"['Scheduling', 'Mathematics', 'Segmentation', 'Analytical', 'Math', 'Database', 'Writing', 'Sas', 'Algorithms', 'Training', 'Crm', 'Supervising', 'Improvement', 'Email', 'Sales', 'Statistics']['Degree/Exam']"
66,"['Analysis', 'C', 'P', 'Analytics', 'Mathematics', 'Pattern', 'Branding', 'Excel', 'R', 'Ms excel', 'Distribution', 'Hypothesis', 'Cfa', 'Plan', 'Sports', 'Economics', 'Content', 'Money', 'Database', 'Procurement', 'Certification']"
67,"['C++', 'Visual', 'Windows', 'Autocad', 'Technical skills', 'Sql', 'Linux', 'C', 'Adobe', 'C#', 'Engineering', 'System', 'Research', 'Training', 'Solaris', 'Photoshop', 'Java', 'Computer science', 'Technical', 'Email']"
68,"['Analytics', 'Analysis', 'Process', 'Sas', 'Research', 'System', 'Responses', 'Improvement', 'Matlab', 'Statistics']['Degree']"
69,"['Distribution', 'Analysis', 'Segmentation', 'Reports', 'Forecasting', 'Transport', 'Market research', 'Research', 'Financial management', 'Economics', 'Email', 'Statistics']"
70,"['Analysis', 'Process', 'Banking', 'Research', 'Vendors', 'Talent management', 'Mathematics', 'Branding', 'Recruitment', 'Operations', 'Website', 'Budget', 'Mining', 'Sports', 'Economics', 'Email', 'Daily operations', 'Database', 'Profiling', 'Training', 'Mobile', 'Sales']['ADA Sustainable Investment Services Pvt Ltd, Mumbai (Summer Intern)                                                                          May-July 2010', '\uf0a7  Assisted ADA Investments, based out of NYC to set up a subsidiary office of the Hedge Fund in Mumbai', '\uf0a7', '\uf0a7  Made back testable data lists specific to trading strategies to be subjected to AUM(Assets Under Management) in excess of INR 200 crore', '\uf0a7  Proposed and executed subscription worth INR 1.2 lacs based on data adequacy of Prowess over Capitaline and Bloomberg', 'GreenHat Ventures Pvt. Ltd. (Manager, Campus Relations, North Zone)                                                                  Sept 2008-Sept 2009']"
71,"['Distribution', 'Analysis', 'Writing', 'Analytical', 'Forecasting', 'Pattern', 'Programming', 'C', 'Construction', 'Research', 'Analyze', 'Algorithms', 'Java', 'Green', 'Electrical', 'Statistics', 'R']['MSc. Integrated (Statistics and Informatics)']"
72,"['Publishing', 'Website', 'Analytics', 'Servers', 'Mathematics', 'Process', 'Analysis', 'Proposal', 'English', 'Experiments', 'System', 'Physics', 'Research', 'Analyze', 'Sports', 'Risk management', 'Statistics', 'German']['MSC PROJECT', 'Degree/Examination']"
73,"['Autocad', 'Analysis', 'C', 'Banking', 'Engineering', 'Research', 'Photoshop', 'Mechanical engineering', 'Api', 'Mathematics', 'English', 'Statistical analysis', 'Oracle', 'Logistics', 'Improvement', 'Excel', 'Coding', 'C++', 'Sports', 'Java', 'Matlab', 'Chemistry', 'Database', 'Sas', 'Physics', 'Statistics']"
74,"['Finance', 'Policies', 'Analysis', 'Forecasting', 'Banking', 'Research', 'Operations', 'Economics', 'International', 'Email', 'Statistics', 'Mortgage']"
75,"['Regulatory', 'Finance', 'Money', 'Analysis', 'Matlab', 'R', 'Forecasting', 'Pattern', 'Banking', 'Research', 'Statistics', 'Economics', 'International', 'Technical', 'Email', 'Certification', 'Compliance']"
76,"['Publishing', 'Process', 'Plan', 'Training', 'Logistics', 'Metrics', 'Economics', 'Hospitality']"
77,"['Distribution', 'Budget', 'Policies', 'Mathematics', 'Analysis', 'Design', 'Excel', 'C', 'Economics', 'Matlab', 'Email', 'Statistics', 'R', 'Coding']"
78,"['Javascript', 'Analysis', 'Process', 'C', 'Html', 'Engineering', 'Algorithms', 'Vendor management', 'Architecture', 'Architectures', 'Design', 'Prototype', 'Mathematics', 'Os', 'System', 'Circuits', 'Lighting', 'C++', 'Python', 'Psychology', 'Budget', 'Programming', 'Java', 'Ibm', 'Php', 'Ruby', 'Shell', 'Testing', 'Database', 'Automation', 'Training', 'Computer science', 'Mysql', 'Statistics']"
79,"['Microsoft excel', 'Design', 'Finance', 'Mathematics', 'Analysis', 'Forecasting', 'Excel', 'English', 'Sports', 'Research', 'Economics', 'International', 'Transactions', 'Email', 'Business management', 'Strategy', 'Mortgage']['Helsinki School of Economics (Department of Finance), Finland', '“Merger Control of National Champion Transactions in Small and Large EU Countries”', 'Ø Was one of the only two international candidates selected to be part of the program.', 'Ø The work is scheduled to culminate into a publication in the Journal of International Business Studies.', 'Ø Amassed and analysed data pertaining to European mergers using tools such as Thomson Worldscope and SDC platinum.', 'Intern', 'IL&FS Portfolio Management Services Ltd, Mumbai', 'Options Trading Strategy', '[Summer 2009]', 'Ø Developed an updatable model for volatility-based options trading using volatility forecasting techniques, applicable on', '[Summer 2010]', 'Research Assistant', 'the S&P CNX NIFTY Index. (Using Microsoft Excel)', 'Ø Report adopted as an aid in trading decisions.', 'Housing Development Finance Corporation Ltd (HDFC),Hyderabad', 'Analysis of defaults in mortgage loans on NRI portfolio', 'Ø Ascertained causal factors of loan defaults and suggested an appropriate recovery mechanism.', 'Intern', '[Summer 2008]', 'Masters Thesis (in progress)', 'Ø “Carbon credits in Indian Industry”                                                                                                                                     [2010- 2011]', 'Ø  Co-author of research paper, alongside Dr. Joy Mukhopadhyay (Jain University).', 'Ø  Abstract submitted for a conference at Indian Institute of Social Welfare and Business Management (IISWBM).', 'Positions of Responsibility', 'Ø  Organizing Team Head, Spring Fest – national level annual cultural fest of IIT Kharagpur                              [2009]', 'Ø Guided a 24 member team in amassing sponsorship worth 50 lacs and hosting 10,000 participants.', 'Ø As Media Head - coordinated the coverage of the fest by MTV for the first time in the history of the fest', 'Ø As Events Head- planned the overall event structure of 50-plus events, incorporating 7 new events.                             [2009]', 'Ø  Captain, Western Music and English Elocution team, Azad Hall                                                                              [2010-2011]', 'Ø Led the English Elocution team to a silver position in the inter-hall championship 2010-2011.', 'Ø  Head Boy,  Gitanjali School, Hyderabad.                                                                                                                                [2004]', 'Extra-Curricular Activities and Achievements', 'Ø  Sponsored Participant, Tata Jagriti Yatra 2009                                                                                                                  [2009]', 'Ø 18-day train journey across 15 cities with the central theme of social entrepreneurship.', 'Ø Awarded full funding of INR 30,000 - selected in top 400 among thousands of applicants internationally.', 'Ø Attended workshop on rural development in Deoria, UP. Presented a case study on Goonj, an NGO.', 'Ø  Lead singer & guitarist, WTMS – official western music society of IIT Kharagpur                                        [2008- 2011]', 'Ø  Winner, 5 gold & 6 silver positions -  Intra-IIT General Championships events                                           [2007-2010]', 'Ø Social and cultural [3 gold, 4 silver] -Dramatics, Western Groups, English Elocution, Western Vocals, Eastern Groups', 'Ø Sports [1 gold, 1 silver] – Cricket ;  Technology [1 gold, 1 silver] -Ad Design', 'Ø  Member , Indian Youth Climate Network (Agents of Change Program)                                                                       [2009]', 'Ø Youth climate –awareness organisation represented at the UNFCCC negotiations (COP 15) in Copenhagen.', 'Ø  Five-time awardee – ‘Best All-Round Student’ - Gitanjali School, Hyderabad                                             [1994-2004]']"
80,"['Website', 'Budget', 'Plan', 'Sports', 'Research', 'International', 'Research projects', 'Sales', 'Statistics', 'Video']['Performed in over 20 concerts in Bangalore and Chennai with a 500+ strong audience', '‘Wildfire’ Rock Competition, ‘10', 'for Carnatic classical flute, ‘03;', '(cid:73)(cid:110)(cid:116)(cid:101)(cid:114)(cid:45)(cid:73)(cid:73)(cid:84)(cid:32)(cid:77)(cid:117)(cid:115)(cid:105)(cid:99)(cid:32)(cid:67)(cid:111)(cid:109)(cid:112)(cid:101)(cid:116)(cid:105)(cid:116)(cid:105)(cid:111)(cid:110)', 'music bands at the', '(cid:78)(cid:97)(cid:116)(cid:105)(cid:111)(cid:110)(cid:97)(cid:108)(cid:32)(cid:76)(cid:101)(cid:118)(cid:101)(cid:108)', '(cid:79)(cid:84)(cid:72)(cid:69)(cid:82) (cid:73)(cid:78)(cid:84)(cid:69)(cid:82)(cid:69)(cid:83)(cid:84)(cid:83)', 'Lead guitarist for the institute music team at the', ', Chennai, December, ‘08', 'winner with the hostel eastern (flautist) and western (lead guitarist) music teams, ‘08, ‘09', 'Participated in over 20 rock and wall climbing scenarios to a height of 60 ft', 'Rafted in over 30 white-water rapids up to level IV in India and USA', '(cid:61607) (cid:82)(cid:97)(cid:110)(cid:107)(cid:101)(cid:100)(cid:32)(cid:54)(cid:116)(cid:104)(cid:32)(cid:111)(cid:117)(cid:116)(cid:32)(cid:111)(cid:102)(cid:32)(cid:53)(cid:48)', '(cid:61607)', '(cid:61607) (cid:71)(cid:111)(cid:108)(cid:100)(cid:32)(cid:109)(cid:101)(cid:100)(cid:97)(cid:108)', '(cid:61607)', '(cid:61607)', '-', '-', '(cid:61607)', '(cid:61607)', '(cid:61607)', '(cid:61607)', '(cid:61607)', '(cid:61607)', '(cid:61607)', '(cid:61607)', '(cid:61607)', '(cid:61607)', '(cid:61607)', '(cid:61607)', '(cid:61607)']"
81,"['Communication', 'Budget', 'Process', 'Analysis', 'Plan', 'Forecasting', 'Hotel', 'Analyze', 'Training', 'Economics', 'Matlab']['DEGREE']"
